id,complex_sentence,simplified_level_1,simplified_level_2,simplified_level_3,image_prompt
1,"যখন সূর্য পশ্চিম দিগন্তে অস্ত যায়, তখন আকাশে রঙের খেলা শুরু হয় এবং পাখিরা তাদের নীড়ে ফিরে যায়।","সূর্য পশ্চিমে ডোবে। আকাশে রঙ দেখা যায়। পাখিরা নীড়ে ফেরে।","সূর্য ডোবে। আকাশ রঙিন হয়। পাখি বাসায় যায়।","সূর্য ডোবে। পাখি বাসায় যায়।","A bright red sun setting behind a simple horizon, with one bird flying towards a small, clear nest in a tree. Use bold colors, minimal background, and focus on the sun and bird. No extra details or clutter."
2,"জীবনের পথে চলতে গিয়ে মানুষ প্রায়ই এমন সিদ্ধান্ত নেয়, যা তাদের ভবিষ্যৎকে বদলে দেয়।","জীবনে মানুষ সিদ্ধান্ত নেয়। সিদ্ধান্ত ভবিষ্যৎ বদলায়।","মানুষ সিদ্ধান্ত নেয়। এটা ভবিষ্যৎ বদলায়।","মানুষ সিদ্ধান্ত নেয়।","A single person (stick figure style) with a thought bubble showing a checkmark, symbolizing a decision. Use bright colors like blue for the person and green for the checkmark. Plain white background."
3,"বইয়ের পাতায় লুকিয়ে থাকা জ্ঞান মানুষের মনকে আলোকিত করে, এবং তাকে নতুন দিগন্তের সন্ধান দেয়।","বইয়ে জ্ঞান থাকে। জ্ঞান মনকে আলো দেয়। এটা নতুন পথ দেখায়।","বই জ্ঞান দেয়। জ্ঞান মন ভালো করে।","বই জ্ঞান দেয়।","A single open book with a glowing yellow light coming out of it, symbolizing knowledge. Use a bright blue book cover and a plain white background. No other objects or details."
4,"যদিও বৃষ্টি প্রকৃতির আশীর্বাদ, তবুও এটি কখনও কখনও মানুষের জন্য সমস্যা সৃষ্টি করে।","বৃষ্টি প্রকৃতির উপহার। কিন্তু এটা কখনও সমস্যা করে।","বৃষ্টি ভালো। কিন্তু এটা সমস্যা করে।","বৃষ্টি সমস্যা করে।","Rain falling from a gray cloud, with a red 'X' symbol below to show a problem. Use bold colors and a plain white background. Focus only on the cloud, rain, and 'X'."
5,"মানুষের স্বপ্ন যখন বাস্তবের সাথে মিলে যায়, তখন জীবন এক অপূর্ব আনন্দে ভরে ওঠে।","স্বপ্ন বাস্তবে হলে জীবন আনন্দে ভরে।","স্বপ্ন সত্যি হয়। জীবন খুশিতে ভরে।","স্বপ্ন সত্যি হয়।","A bright yellow star (representing a dream) with a green checkmark next to it, showing the dream coming true. Plain white background, no other elements."
6,"সময়ের স্রোতে ভেসে যাওয়া স্মৃতিগুলো কখনও কখনও মনের গভীরে তীব্র অনুভূতি জাগায়।","সময়ের সাথে স্মৃতি যায়। স্মৃতি মনে অনুভূতি দেয়।","স্মৃতি মনে থাকে। এটা অনুভূতি দেয়।","স্মৃতি মনে থাকে।","A simple brain shape in pink, with a single blue heart inside it to represent a memory. Plain white background, no extra details."
7,"যে শিক্ষা মানুষকে সত্যের পথে চালিত করে, তা জীবনের সবচেয়ে মূল্যবান সম্পদ।","শিক্ষা সত্যের পথ দেখায়। এটা জীবনের মূল্যবান সম্পদ।","শিক্ষা সত্য দেখায়। এটা মূল্যবান।","শিক্ষা মূল্যবান।","A bright red apple (symbolizing education) with a gold star above it to show value. Plain white background, no other elements."
8,"প্রকৃতির সৌন্দর্য মানুষের মনকে শান্ত করে, যখন সে তার জটিল জীবন থেকে মুক্তি চায়।","প্রকৃতির সৌন্দর্য মন শান্ত করে। এটা জটিল জীবন থেকে মুক্তি দেয়।","প্রকৃতি মন শান্ত করে। এটা জীবন সহজ করে।","প্রকৃতি মন শান্ত করে।","A green tree with a calm blue brain shape next to it, symbolizing nature calming the mind. Plain white background, no extra details."
9,"যদি মানুষ একে অপরের সাথে সহানুভূতি ভাগ করে, তবে পৃথিবী আরও সুন্দর হবে।","মানুষ সহানুভূতি ভাগ করলে পৃথিবী সুন্দর হয়।","সহানুভূতি ভাগ করলে পৃথিবী ভালো হয়।","সহানুভূতি পৃথিবী ভালো করে।","Two stick figures holding hands, with a bright green earth below them, showing empathy making the world better. Plain white background, no other elements."
10,"জ্ঞানের সন্ধানে যে পথিক চলে, সে কখনও পথ হারায় না, কারণ জ্ঞানই তার পথপ্রদর্শক।","জ্ঞানের জন্য যে চলে, সে পথ হারায় না। জ্ঞান তাকে পথ দেখায়।","জ্ঞান খুঁজলে পথ হারায় না। জ্ঞান পথ দেখায়।","জ্ঞান পথ দেখায়।","A glowing yellow light bulb (knowledge) with a red arrow pointing forward to show a path. Plain white background, no extra details."
11,"সকালে ঘুম থেকে উঠে, আমি জানালা দিয়ে ফুলের বাগান দেখি।","সকালে আমি ঘুম থেকে উঠি। জানালা দিয়ে ফুলের বাগান দেখি।","সকালে উঠি। জানালা দিয়ে ফুল দেখি।","জানালা দিয়ে ফুল দেখি।","A window with a bright yellow frame showing a single red flower outside. Plain white background, no extra details."
12,"বাজারে গিয়ে, আমি তাজা সবজি আর ফল কিনি।","বাজারে গিয়ে আমি সবজি কিনি। ফলও কিনি।","বাজারে যাই। সবজি কিনি। ফল কিনি।","সবজি কিনি। ফল কিনি।","A green vegetable (like a cucumber) and a red apple in a basket. Use bold colors and a plain white background. No other elements."
13,"আমার বন্ধু আমাকে একটি সুন্দর উপহার দেয়, যা আমাকে খুব খুশি করে।","বন্ধু আমাকে উপহার দেয়। উপহার আমাকে খুশি করে।","বন্ধু উপহার দেয়। আমি খুশি হই।","বন্ধু উপহার দেয়।","A blue stick figure giving a red gift box to another blue stick figure. Plain white background, no extra details."
14,"ঝড়ের পরে, আকাশে একটি সুন্দর রংধনু দেখা যায়।","ঝড়ের পরে আকাশে রংধনু দেখা যায়।","ঝড়ের পরে রংধনু দেখি।","রংধনু দেখি।","A simple rainbow with bright colors (red, yellow, blue) in the sky. Plain white background, no extra details."
15,"আমি প্রতিদিন সকালে একটি বই পড়ি, যা আমার জ্ঞান বাড়ায়।","সকালে আমি বই পড়ি। বই জ্ঞান বাড়ায়।","সকালে বই পড়ি। জ্ঞান বাড়ে।","বই পড়ি।","A bright blue book being held by a stick figure. Plain white background, no extra details."
16,"গ্রীষ্মের দিনে, আমি নদীর ধারে বসে শীতল বাতাস উপভোগ করি।","গ্রীষ্মে আমি নদীর ধারে বসি। শীতল বাতাস উপভোগ করি।","গ্রীষ্মে নদীর ধারে বসি। বাতাস উপভোগ করি।","নদীর ধারে বসি।","A blue river with a stick figure sitting on the bank. Use bold colors and a plain white background. No other elements."
17,"আমার বাগানে, ফুলের মধ্যে প্রজাপতি উড়ে বেড়ায়।","বাগানে ফুলের মধ্যে প্রজাপতি উড়ে।","বাগানে প্রজাপতি উড়ে। ফুল আছে।","প্রজাপতি উড়ে।","A single butterfly with bright yellow wings flying near a red flower. Plain white background, no extra details."
